source_failure,executable_checks,qualification_limit
F01,test_origin_mutation_against_previous_blocked; test_composition_detects_question_drift,Trusted prior snapshot or bound Q+R needed to detect coordinated rewrites
F02,test_analysis_cannot_enter_box_content,Natural-language content classification remains external
F03,test_plural_representations_one_referent; test_referent_substitution_blocked,Referent truth and ontology claims in prose require qualification
F04,test_imported_mechanism_blocked,No formal ontology route; prose semantics not automatically verified
F05,test_imported_mechanism_blocked,No imported profile formalism; separately warranted comparisons remain possible outside this profile
F06,test_no_collapse_or_world_creation_operations; test_profile_preserves_unknown_mechanism,No collapse mechanism implemented
F07,test_observation_cause_field_rejected,Causal claims inside prose need semantic qualification
F08,test_observation_does_not_promote_representation; test_qualification_does_not_make_reality,Supplied receipt truth remains externally qualified
F09,test_representations_not_accepted_as_observations; test_compatibility_without_discrimination_does_not_raise_standing,Linkage checks cannot prove a claimed discriminator really discriminates
F10,test_compatibility_without_discrimination_does_not_raise_standing,Specific current-Zervan-as-evidence semantic attack still needs qualification; no full automated coverage
F11,test_primitive_without_enumeration; test_no_representation_required_after_observation,No exhaustive materializer or runtime scheduler supplied
F12,test_qualification_does_not_make_reality; test_rejection_retains_original_representation,REJECTED requires new qualification; unknown is not automatically false
F13,test_qualification_does_not_make_reality; test_unknown_not_immune_to_future_qualification,Positive standing requires linked qualification; unknown is not automatically true
F14,test_imported_mechanism_blocked,Authority fixed NONE; semantic meta-authority claims remain a review surface
F15,test_later_standing_does_not_rewrite_history; test_history_rewrite_detected_against_previous,Independently retained prior record required for external tampering detection
F16,test_primitive_without_enumeration; test_warranted_function_executes_without_mutating_origin,Caller must preserve full origin and use validating interface
F17,test_warranted_function_executes_without_mutating_origin,Actual execution authorization remains outside this record adapter
F18,test_function_cannot_return_object_as_question; test_warranted_function_executes_without_mutating_origin,Application boundary; not a malicious-code sandbox
